Date/Time,Word Count,en,ja
2024.09.04-08.10.21,1167,0,1167
2024.09.04-08.43.47,1167,838,1167
2024.09.04-09.06.03,932,842,932
2024.09.04-09.07.11,931,842,931
2024.09.04-09.09.01,906,842,906
2024.09.04-09.28.44,904,842,904
2024.09.06-17.36.13,1014,823,1014
2024.09.06-17.37.55,1014,833,1014
2024.09.11-20.02.03,1014,819,1014
2024.09.12-16.04.52,1014,978,1014
2024.09.21-21.27.43,1151,640,1151
2024.09.21-21.44.11,1150,1089,1150
2024.09.22-13.40.34,1141,1080,1141
2024.09.22-13.47.27,1141,1109,1141
2024.09.22-17.38.40,1140,1109,1140
2024.09.23-18.02.12,1144,1109,1144
2024.09.23-18.04.37,1144,1123,1144
2024.09.23-19.33.10,1144,1112,1144
2024.09.23-19.39.27,1144,1123,1144
2024.09.24-07.26.25,1136,1025,1136
2024.09.24-07.27.51,1136,1115,1136
